Clave;Club;Goles; xG;Tiros ;Tiros a portería;Pases;Pases logrados;Posesión del balón, %;Balones perdidos / bajos / medios / altos;Balones recuperados /bajos / medios / altos;Duelos;Duelos ganados;Tiros de fuera del área ;Tiros de fuera del área en portería;Ataques posicionales ;Ataques posicionales con remate;Contraataques;Contraataques con remate;Jugadas a balón parado;Jugadas ABP con remate;Córneres;Córneres con remate;Tiros libres;Tiros libres con remate;Penaltis;Penaltis marcados;Centros;Centros precisos;Pases cruzados en profundidad completados;Pases en profundidad completados;Entradas al área de penalti (carreras / pases cruzados);Toques en el área de penalti;Duelos ofensivos;Duelos ofensivos ganados;Fuera de juego;Goles recibidos;Tiros en contra;Tiros en contra a portería;Duelos defensivos ;Duelos defensivos ganados;Duelos aéreos;Duelos aéreos  ganados;Entradas a ras de suelo;Entradas a ras de suelo logradas;Interceptaciones;Despejes;Faltas;Tarjetas amarillas;Tarjetas rojas;Pases hacia adelante;Pases hacia adelante logrados;Pases hacia atrás ;Pases hacia atrás logrados;Pases laterales;Pases laterales logrados;Pases largos;Pases largos logrados;Pases en el último tercio;Pases en el último tercio logrados;Pases progresivos / precisos;Pases progresivos;Pases progresivos precisos;Desmarques;Desmarques logrados;Saques laterales;Saques laterales logrados;Saques de meta;Intensidad de paso;Promedio pases por posesión del balón;Lanzamiento largo %;Distancia media de tiro;Longitud media pases;PPDA
Audax;Audax Italiano;1,13;1,4;11,59;35,60%;352;59,79;46,96;113,78;88,25;218,28;47,50%;4,81;29,90%;28,19;24,30%;1,16;43,10%;23;15,60%;4,25;37,40%;2,84;20,80%;0,22;72,70%;16,25;32,50%;5,25;6,06;23,88;16,28;74,53;34,50%;1,66;1,38;11;94,43;68,38;65,40%;40,19;46,70%;4,44;51,40%;45,69;18,09;9,97;2,56;0,41;136,31;69,70%;45,47;92,90%;116,91;84,70%;46,72;56,30%;49,72;65,60%;70,6970,3%;70,69;70,30%;1,72;40,10%;22,22;86,80%;8,31;15,25;3,29;13,85;18,69;20,18;11,38
Cobreloa;Cobreloa;0,94;1,07;11,87;34,50%;337,26;80,60%;48,1;99,45;75,1;201;23,49;6,1;27,50%;26,16;29,70%;1;42;24,97;12,80%;4,26;36,40%;3,03;21,50%;0,13;76,90%;15,61;34,90%;5,52;4,74;20,87;13;70,61;39,50%;1,65;2,06;14,1;43,30%;66,84;64,60%;34,81;44,70%;5,58;53,80%;36,55;14;10,84;2,97;0,35;119;29,72;41,87;91,40%;131,77;85,70%;48,32;57,30%;45,55;68,80%;66,6871,8%;66,68;71,80%;0,84;61,90%;17,19;84,60%;9,23;14,8;3,35;14,94;20,42;21,5;11,6
Cobresal;Cobresal;1,26;1,41;12;35,30%;370,92;82,40%;46,77;98,13;71,64;199;08,47;5;64,25;25,87;26,90%;1,77;43,50%;27,1;12,90%;4,69;32,80%;3,08;26,60%;0,2;3100%;16;34,80%;5,44;4,97;21,72;15,33;67;85,36;1,72;1,79;16,15;34,80%;70,38;62,40%;33;43,40%;4,72;50,40%;36,9;15,97;10,13;2,44;0,1;131,41;74,10%;49,08;92,60%;142,59;87,90%;42,15;57,10%;49,41;68,40%;70,4673,8%;70,46;73,80%;1,97;40,10%;20,64;89,40%;12,13;15,61;3,56;11,86;19,52;20,89;14,85
Colo-Colo;Colo Colo;1,55;1,66;13,76;38,70%;562,58;85,90%;62,74;110,91;88,52;214,27;48,60%;5;85,26;37,64;23,50%;0,85;64,70%;23,79;15,40%;5,88;31,50%;1,85;17,80%;0,24;87,50%;15,55;32,90%;4,39;9,55;26,82;21,21;79,73;35,30%;1,18;0,7;8,15;43,60%;66;27,68;35;45,48;3,97;48,90%;34,67;11,09;9,79;2,3;0,3;177,48;77,90%;81;52,93;206,12;90,10%;48,64;59,70%;66,61;75,20%;81,6776,6%;81,67;76,60%;2,7;38,10%;22,73;89,70%;7,27;17,07;5,16;9,18;18,6;18,41;7,63
Copiapo;Copiapó;1,34;1,38;12,25;34,70%;311,22;77,20%;45,78;107,41;81,03;213,13;47,20%;5,5;22,20%;25,66;29,30%;1,22;45,90%;25,16;14,80%;4;63,33;2,66;27,10%;0,22;72,70%;13,94;33,20%;4,66;6,63;22,28;14,91;66,34;34,80%;1,91;1,88;14;88,38;75,25;62,80%;38,78;43,10%;5,78;54,70%;42,13;16;11,22;2,84;0,28;119,19;67,30%;40,19;91,60%;109,38;83,10%;59,97;55,90%;52,09;61,80%;66,9172,6%;66,91;72,60%;1,63;38,70%;18,5;85,50%;10,5;14,68;2,97;19,79;20,45;22,38;10,89
Coquimbo;Coquimbo Unido;1,31;1,32;11,06;37,90%;355,66;77,10%;45,17;120,81;96,38;230,41;47,60%;4,38;30,60%;31,5;21,60%;1;94,34;25,13;12,20%;5,5;28,90%;3;38,24;0,13;23,10%;17,88;31,80%;5,44;6,16;23,97;16,06;67,03;34,10%;2;1,19;10,5;32,80%;74,94;65,70%;46,5;43,20%;4,66;51,10%;43,16;15,88;10,13;2,66;0,19;144,56;68,70%;44,5;91,80%;114,47;82,80%;52;25,53;54;84,64;70,9773,4%;70,97;73,40%;1,81;38,10%;23,28;85,10%;8,91;15,93;3,11;14,97;17,81;20,41;10,98
Iquique;Deportes Iquique;1,82;1,66;13,89;36,50%;381,79;79,80%;53,18;113,68;87,96;227,39;48,40%;5,54;26,40%;32,5;26,90%;1,68;44,60%;24,21;15,50%;4,82;28,80%;2,61;35,60%;0,18;77,80%;18,25;37,40%;6,89;9,04;28,43;21,11;74;39,37;2,39;1,61;12,21;42,10%;73,04;63,30%;42,04;47,10%;4,57;56,20%;42,43;17,11;14,21;2,93;0,21;142,79;70,20%;47;79,92;140,57;86,10%;54,25;57,30%;57,36;68,60%;76,4375,2%;76,43;75,20%;2,39;31,40%;19,43;81,40%;7,71;15,64;3,51;14,86;17,96;20,95;7,43
Everton;Everton;1,52;1,61;13,15;40,30%;368,67;79,50%;49,88;112,88;86,36;230,24;46,10%;5,18;30,50%;29,06;28,60%;1,79;59,20%;26,67;11,80%;5,7;29,30%;2,48;13,30%;0,27;66,70%;16,76;34,40%;5,48;7,52;25,82;18,55;83,88;35,80%;1,64;1,39;12,76;41,10%;68,97;61,70%;40,82;45,10%;3,12;57,40%;45,39;15,73;11,15;2,3;0,3;143,55;71,30%;46,7;92,40%;126,52;85,90%;52,79;62,30%;51,27;67,80%;78,1273,5%;78,12;73,50%;2,3;43,50%;21,03;92,50%;8,52;15,27;3,31;15,12;18,83;20,85;9,27
Huachipato;Huachipato;1;1,4;11,97;37,80%;387,81;79,80%;50,11;115,56;87,03;213,56;47,30%;5,22;28,20%;32,06;23,20%;1;34,47;24;84,14;5,03;29,20%;2,75;28,40%;0,09;66,70%;20,03;34,10%;6,5;7,25;25,84;17,69;63,69;33,50%;1,63;1,41;12,13;40,50%;71,31;62,40%;44,22;47,40%;4,28;48,10%;42,84;17,84;11,72;2,16;0,09;141,34;72,10%;47,25;91,30%;141;72,85;51,94;62,10%;54;94,68;79,4474,7%;79,44;74,70%;1,59;39,60%;22,38;88,40%;9,72;16,1;3,44;13,78;18,78;20,46;9,4
Nublense;Ñublense;1,31;1,49;12,44;35,20%;362,38;80,50%;47,63;110,72;90,53;235,94;46,80%;5,31;23,50%;31,41;26,60%;1,47;42,90%;24,03;12,20%;4,69;28,60%;2,38;30,30%;0,19;68,40%;15,19;38,10%;5,41;8,25;23,44;19,25;73,16;34,90%;1,91;1,09;12,81;36,60%;76;63,20%;45,72;42,80%;6,34;53,30%;45,72;16,97;12,53;2,63;0,25;133;25,73;47,34;91,10%;121,53;85,50%;48,13;58,90%;50,09;68,80%;70,6374,2%;70,63;74,20%;1,41;33,30%;19,31;85,80%;9,13;15,91;3,42;13,67;18,62;19,77;8,85
OHiggins;O'Higgins;1,19;1,33;12,66;32,60%;339,56;77,90%;48,15;116,06;85,06;236,19;49,30%;5,38;24,90%;29,56;25,40%;1,25;57,60%;27,13;14,90%;5,63;31,10%;3,31;26,60%;0,13;46,20%;15,56;33,50%;4,94;5,78;23,47;16,28;74,31;37,80%;1,5;1,59;10;91,41;76,28;66,40%;50,66;46,40%;5,56;47,30%;39,78;15,78;12,81;3;0,38;131,28;68,10%;41,34;92,20%;120,22;85,30%;52,53;58,70%;53,75;66,40%;7373,10%;73;73,10%;1,88;38,30%;22,16;86,50%;9,41;15,03;3,06;15,82;18,95;21,21;8,96
Palestino;Palestino;1,47;1,39;10,88;33,60%;360,47;79,80%;49,88;109,97;82,41;218,25;46,70%;4,09;22,20%;29;25,23;0,81;38,30%;27,59;11,50%;4;78,28;3,59;19,20%;0,2;5100%;16;19,35;5,66;7,28;24,13;16,53;68,97;36,40%;2;1,06;11,69;33,20%;69,59;64,20%;41,72;41,90%;4,47;48,30%;36,5;14,34;11,91;3,03;0,25;133,97;70,70%;46,94;91,30%;130;85,70%;53;28,59;52,16;66,20%;73,5674,6%;73,56;74,60%;1,63;44,20%;21,81;89,80%;9,91;15,32;3,38;15,24;18,15;21,1;9,66
UEspanola;Unión Española;1,68;1,65;12,85;40,10%;448,21;83,20%;52,89;108,35;85,62;212,26;47,40%;5,65;29,70%;31,26;27,40%;1,65;44,80%;24,94;10,70%;4,56;23,20%;3;14,70%;0,21;85,70%;15,79;33,20%;5,09;7,56;24,09;17,56;71,15;37,60%;1,71;1,62;13,82;40,20%;70;09,62;37,29;42,30%;4,56;50,90%;41,41;16,44;9,97;2,65;0,29;153;76,75;60,26;93,10%;163,82;88,10%;47,79;60,70%;54,26;71,40%;76,4773,9%;76,47;73,90%;2,94;43,90%;19,62;90,80%;8,47;16,93;4,09;11,06;19,1;19,29;10,22
UCalera;Unión La Calera;1;1,14;10,22;36,40%;320,78;76,10%;44,08;117,97;85,44;226,28;48,70%;4,91;25,50%;26;22,23;0,84;59,50%;24,78;12,10%;3,5;32,30%;3;13,24;0,19;68,40%;11,47;34,10%;3,91;3,66;16,28;11,16;65,44;35,50%;0,97;1,44;12,72;42,30%;78,38;64,30%;45,03;47,70%;4;41,44;46,56;19,19;10,69;2,84;0,28;130;66,90%;42,63;90,80%;102,16;82,90%;49,03;53,10%;45,78;61,90%;67,6366,8%;67,63;66,80%;1;75,36;24,38;80%;9,59;15,06;2,87;15,67;20,44;20,52;11,69
UCatolica;Universidad Católica;1,5;1,28;10;43,10%;361,78;80,90%;52,86;103,38;79;210,09;47,90%;4,22;35,50%;25,5;22,80%;1,09;48,60%;27,09;11,10%;3,88;25,80%;3,41;22,90%;0,22;72,70%;14,06;29,10%;4,5;5,22;20,69;13,25;72,22;36,60%;1,91;1,13;11,75;35,70%;65,66;64,30%;39,06;48,70%;4;52,30%;39;19,13;11,22;2,91;0,22;133,94;71,50%;48,13;92,30%;129,63;86,70%;47,94;57,30%;46,47;66,80%;68,2870,2%;68,28;70,20%;2,31;31,20%;22,09;90,50%;9,59;15,44;3,41;13,74;18,52;20,05;9,01
UdeChile;Universidad de Chile;1,79;1,73;16,52;34,30%;441,36;81,60%;55,94;114,58;89,48;220,58;49,70%;8,33;22,90%;34,97;28,80%;1,88;48,40%;28,36;16,40%;5,88;33,50%;2,64;29,90%;0,21;85,70%;21,12;34,80%;7,12;6,94;27,64;18,67;72,97;38,60%;1,76;0,97;10,7;36,30%;73,73;63,90%;38,61;49,40%;3,79;52,80%;38,97;15,18;12,15;2,58;0,18;157,52;74,20%;55,73;92,20%;164;27,86;44;94,56;59,94;72,70%;81,0375,2%;81,03;75,20%;2;18,39;22,79;90,30%;8,55;16,5;3,89;10,64;20,05;19,56;7,9
